Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,17.75,17.979999542236328,17.31999969482422,17.450000762939453,17.43816375732422,18497800.0
2021-01-05,17.799999237060547,19.950000762939453,17.649999618530273,19.209999084472656,19.19696807861328,37293800.0
2021-01-06,19.520000457763672,20.280000686645508,18.969999313354492,20.0,19.986433029174805,37156400.0
2021-01-07,20.209999084472656,21.149999618530273,20.030000686645508,20.56999969482422,20.55604362487793,24299300.0
2021-01-08,20.8799991607666,21.030000686645508,19.8700008392334,20.079999923706055,20.066375732421875,18277900.0
2021-01-11,19.25,20.18000030517578,19.0,20.079999923706055,20.066375732421875,15165900.0
2021-01-12,20.59000015258789,22.790000915527344,20.270000457763672,22.6200008392334,22.60465431213379,37326600.0
2021-01-13,22.690000534057617,22.780000686645508,22.1299991607666,22.329999923706055,22.314849853515625,19527000.0
2021-01-14,22.84000015258789,24.600000381469727,22.6200008392334,24.239999771118164,24.223554611206055,29879100.0
2021-01-15,23.450000762939453,23.709999084472656,22.360000610351562,22.389999389648438,22.37481117248535,24701700.0
2021-01-19,23.049999237060547,23.75,22.8700008392334,23.06999969482422,23.05434799194336,21931400.0
2021-01-20,23.270000457763672,23.530000686645508,22.75,23.020000457763672,23.004383087158203,14737000.0
2021-01-21,22.90999984741211,22.989999771118164,21.440000534057617,21.540000915527344,21.525386810302734,19333300.0
2021-01-22,20.670000076293945,21.600000381469727,20.260000228881836,21.489999771118164,21.475419998168945,17640700.0
2021-01-25,21.0,21.6200008392334,20.670000076293945,21.510000228881836,21.49540901184082,15398900.0
2021-01-26,21.899999618530273,22.420000076293945,20.350000381469727,20.3799991607666,20.366172790527344,19138100.0
2021-01-27,19.989999771118164,21.65999984741211,19.459999084472656,20.579999923706055,20.566038131713867,25688400.0
2021-01-28,20.799999237060547,21.489999771118164,20.229999542236328,20.950000762939453,20.935787200927734,16438200.0
2021-01-29,20.65999984741211,21.3799991607666,19.729999542236328,20.059999465942383,20.046390533447266,19971500.0
2021-02-01,20.6299991607666,20.75,19.799999237060547,20.389999389648438,20.37616729736328,13688000.0
2021-02-02,21.489999771118164,21.770000457763672,20.6200008392334,20.729999542236328,20.7159366607666,15513800.0
2021-02-03,20.979999542236328,22.15999984741211,20.8700008392334,22.020000457763672,22.005062103271484,18308300.0
2021-02-04,22.329999923706055,22.59000015258789,21.65999984741211,22.299999237060547,22.284870147705078,13247100.0
2021-02-05,22.829999923706055,23.139999389648438,22.200000762939453,22.559999465942383,22.544694900512695,13227600.0
2021-02-08,23.020000457763672,25.5,23.0,25.450000762939453,25.432735443115234,31510500.0
2021-02-09,24.600000381469727,25.149999618530273,24.100000381469727,24.649999618530273,24.633277893066406,20757100.0
2021-02-10,24.829999923706055,25.790000915527344,24.799999237060547,25.600000381469727,25.582632064819336,22400500.0
2021-02-11,25.399999618530273,25.40999984741211,24.079999923706055,24.979999542236328,24.963050842285156,15232200.0
2021-02-12,24.690000534057617,25.75,24.559999465942383,25.389999389648438,25.372774124145508,12382000.0
2021-02-16,26.65999984741211,26.950000762939453,25.8799991607666,26.459999084472656,26.442049026489258,19260400.0
2021-02-17,26.84000015258789,27.18000030517578,25.850000381469727,26.729999542236328,26.711864471435547,15082100.0
2021-02-18,26.450000762939453,26.729999542236328,25.209999084472656,25.280000686645508,25.26285171508789,15311700.0
2021-02-19,25.31999969482422,25.899999618530273,25.030000686645508,25.420000076293945,25.402753829956055,14936100.0
2021-02-22,25.989999771118164,27.459999084472656,25.81999969482422,26.469999313354492,26.452041625976562,22820600.0
